标题,ID,时间,点赞
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,沅问山,"
                6-8 17:29
                来自重庆
              ",
真的有病吧这些人,喝一大桶牛奶心情会变好,"
                6-8 17:29
                来自江苏
              ",
我真服了媒体也是吃人血馒头的，他们就是故意的,嫩橘蝶-51129,"
                6-8 17:28
                来自江苏
              ",
转发微博,蓝色美人-,"
                6-8 17:28
                来自江苏
              ",
作为一个河南人我想说有些学校真的没有对穿衣和发型有太多要求，况且这位小姐姐的衣服并没有什么不合适的地方，你凭什么因为一件衣服去评判别人，思想肮脏的人看什么都有问题,只为姜姜心动,"
                6-8 17:28
                来自河南
              ",4
转发微博,i2lekk_,"
                6-8 17:27
                来自广东
              ",
缺了大德了,给你一杯碳酸钙,"
                6-8 17:27
                来自江苏
              ",
泪腺连着膀胱两眼珠子渗尿看什么都黄,你让我吐了,"
                6-8 17:27
                来自广东
              ",1
#女考生因穿裙子而被网暴到放弃高考#,wkypndxyl,"
                6-8 17:26
                来自辽宁
              ",
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,-迎财神入我家-,"
                6-8 17:26
                来自广东
              ",
蝻的都⃣了,radish__,"
                6-8 17:25
                来自山东
              ",
你再闹一下呢杀掉沙田柚橘颂卧槽这些男的也是要死了,howareryu_,"
                6-8 17:25
                来自湖南
              ",1
这些人最高学历胎教,妳到底睡不睡觉,"
                6-8 17:25
                来自上海
              ",
服了求一个世界厌男方法,江江江北皖,"
                6-8 17:24
                来自河北
              ",
世纯一男人就该死,暮歌9841,"
                6-8 17:24
                来自安徽
              ",1
问为什么制造性别对立的请问网报她的性别群体是五星吗,我爱收卡怎么了,"
                6-8 17:24
                来自浙江
              ",
当时看到这条视频的时候就感觉到了。。。。评论区特别恶臭,字典与圣经a,"
                6-8 17:24
                来自江苏
              ",
男的死了,不夜城night,"
                6-8 17:24
                来自北京
              ",
楠楠陳三愿,書写敬亭山,"
                6-8 17:24
                来自吉林
              ",
我高中数学老师女儿上的北大，她闺女高考前她还特地给她闺女买了一套漂亮衣服考试时候穿，而且还是超短裙，某些人思想比五十多岁的人还落后,65ggd,"
                6-8 17:24
                来自山东
              ",1
我记得大清不是早亡了,草莓叛变啦,"
                6-8 17:23
                来自江苏
              ",
请问这个穿搭哪里不正常了,soo_gooood,"
                6-8 17:23
                来自上海
              ",
这种的被黑哥到脱肛就老实了,无名宜,"
                6-8 17:22
                来自山西
              ",1
这些人里面有几个高考过的...,木头燃烧是耀眼的_,"
                6-8 17:22
                来自四川
              ",1
……一群只会拿下半身看世界的见男离了下三路话都不会说是吧？,一片梵芯,"
                6-8 17:22
                来自四川
              ",2
无良媒体你们是为了热度也是,Ccchxxxx_,"
                6-8 17:22
                来自福建
              ",
我不理解，这个穿着到底有什么问题？？？？,-小眠羊熟了嘛-,"
                6-8 17:22
                来自云南
              ",
无语了有些人，穿衣自由想穿什么就穿什么，衣服是你评判别人的标准，说明你自己不是一个好人,只为姜姜心动,"
                6-8 17:21
                来自河南
              ",1
垃圾真的污染环境,周妃妃在哪,"
                6-8 17:20
                来自安徽
              ",
官媒电视台都这么恶臭了,烟雨微凉行舟夜,"
                6-8 17:20
                来自河南
              ",
男宝看看你们的嘴脸呀,变形者集群个人微博,"
                6-8 17:20
                来自浙江
              ",5
转发微博,最爱吃奶黄小猪包,"
                6-8 17:19
                来自江苏
              ",
河南为什么管的这么严，我们当时有金属的话只要给老师检查了就可以进去了，我问了问室友也都是这么说的（我们都是不同省的）,只想睡觉zz__,"
                6-8 17:19
                来自北京
              ",
一群只会用下半身思考的唐氏你们的生活到底有多悲哀多肮脏以至于煽动到自己可怜的自尊心发出这种毫无下限的话，社会对你们包容还真把自己当重点保护动物了,一碗香菜茄,"
                6-8 17:19
                来自福建
              ",2
好想吐这些人就该去⃣,温四御-,"
                6-8 17:19
                来自新疆
              ",
想知道是哪个账号发的呢不是所有都能够称作媒体,孜非孜,"
                6-8 17:18
                来自北京
              ",
深夜苦读练就了黑眼圈,一豆豆厘咪,"
                6-8 17:18
                来自江西
              ",
我服了这个世界,Collapsar0711_,"
                6-8 17:18
                来自重庆
              ",
#女考生因穿裙子而被网暴到放弃高考#共青团中央管管,Mik_H7,"
                6-8 17:18
                来自安徽
              ",
真服了，穿不得？,呆桃狙中我的心,"
                6-8 17:18
                来自四川
              ",
这些媒体都去死吧,Ballooninlove,"
                6-8 17:18
                来自福建
              ",
天呐，准备了三年的高考就这么被恶意的舆论毁了，一个女孩的三年不值得被保护嘛！,C君在甩肉,"
                6-8 17:18
                来自浙江
              ",1
,你吃什么我也想吃,"
                6-8 17:17
                来自北京
              ",
膀胱连大脑你们会有报应的,Heimdallr17,"
                6-8 17:17
                来自福建
              ",1
在高考期间引导网暴一个考生到底是什么出生啊……,晋江阿May,"
                6-8 17:17
                来自浙江
              ",
不知道的以为穿裙子犯罪呢，男的能不能去⃣,尔鬼舔狗,"
                6-8 17:16
                来自吉林
              ",
能不能把这个媒体封杀了啊很多媒体还有一些真的……天天拍张照片然后就开始编故事说些有的没的,狗勾能量七七,"
                6-8 17:15
                来自江苏
              ",
而且什么叫大专命？一看就是读大专的？大专是什么很差的学历吗？她穿着上衣裙子有哪里是错误的？什么叫根本不像学生，像老师，老师的穿着还有刻板印象的？,阿紫爱寿司O-O,"
                6-8 17:15
                来自浙江
              ",
,张奕然超绝妈粉,"
                6-8 17:15
                来自四川
              ",
可以起诉吗？媒体引导别人网暴，评论造谣的也一起起诉吧，互联网不是法外之地,ww-Yang,"
                6-8 17:14
                来自四川
              ",
媒体不关注丢准考证的，考试作弊的，开始关注起了大家穿什么衣服是吧。查查有多少男考生考试穿短裤，穿短裤的一律挂网上去,滢羽舒鹮,"
                6-8 17:14
                来自北京
              ",
男的天生就是减种…………,OpenLittleflower,"
                6-8 17:14
                来自黑龙江
              ",1
某些蝻的别犯病哦,看起来花里胡哨但就花里胡哨某令,"
                6-8 17:13
                来自江苏
              ",
鞋子过不了安检要换，能稍微理解，可能是怕作弊，但因为这样一种穿搭就被造黄谣被网暴不能理解。越发逼仄的环境，就越苛刻于风俗道德。,刻薄B,"
                6-8 17:12
                来自重庆
              ",
即使是规则内，在这里跟别人不一样就是犯错就要被人骂我真服了。怎么不说现在学校搞礼服也是穿裙子呢。裙子根本不是问题，问题是在他们眼里是另类就要追着骂。对于女性、穿裙子，开黄腔就是最简单的攻击方向。,IRLGO,"
                6-8 17:11
                来自广东
              ",4
男的是这样的,一曲昭华,"
                6-8 17:11
                来自安徽
              ",
有些人性器长头上了，管人这管人那，而且对于一个陌生人就肆意猜想造谣真的很无语,百分甜_T,"
                6-8 17:11
                来自河南
              ",
也没听你说你没考上大学是因为你长得太帅了啊,等风起时起风了,"
                6-8 17:11
                来自辽宁
              ",
蝻的真的有病,努力努力再努力的小钟,"
                6-8 17:10
                来自云南
              ",
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理//月亮会保护你我觉得这件事很严重，为何会允许媒体在高考这一天给考生造黄谣？说好的全社会给高考让路呢？,hehxud,"
                6-8 17:10
                来自重庆
              ",
好病态的社会……,天生延误,"
                6-8 17:09
                来自浙江
              ",
转发微博,山有扶苏忘言无悔,"
                6-8 17:09
                来自安徽
              ",
司马楠的,Nayniyyy_,"
                6-8 17:08
                来自北京
              ",
管管你们虫南宝，下边给别的虫南宝捅着，也不能从上边出来吧,评论罗伯特勒,"
                6-8 17:08
                来自辽宁
              ",1
她从一开始就不想高考吧,阿萨sin诺,"
                6-8 17:08
                来自四川
              ",1
这些男的是有什么毛病,浆糊脑袋摇一摇,"
                6-8 17:07
                来自浙江
              ",
生殖器官通大脑只会用性来思考感觉是自然选择的漏网之鱼。,小舟闲已杙江湄,"
                6-8 17:07
                来自湖南
              ",
,妫烟烟烟烟,"
                6-8 17:06
                来自四川
              ",2
#国男被韩国财阀玩到脱岗#,复古脚后跟,"
                6-8 17:06
                来自安徽
              ",1
嗜睡症晚期想吐啊。。,i7eberg,"
                6-8 17:06
                来自上海
              ",
减重男的答应我别上网了先攒钱看医生好吗,巴娜娜队长,"
                6-8 17:05
                来自北京
              ",
男宝,i7eberg,"
                6-8 17:05
                来自上海
              ",
都你妈死啊,林什么哼,"
                6-8 17:05
                来自浙江
              ",
吐了,放你的春秋大p,"
                6-8 17:04
                来自浙江
              ",
好好打扮迎接自己重要的日子有错吗，难道高考生就一定只能穿运动服或者校服吗。都是些什么封建余孽，,lyjkzq,"
                6-8 17:04
                来自湖北
              ",3
有什么大病似的，有时候所谓的“媒体”,彦萱wong,"
                6-8 17:03
                来自广东
              ",
能不能也找找无良媒体的责任别光顾着对殴了,瞳山菜菜子,"
                6-8 17:02
                来自山东
              ",
不是说全社会为高考让路吗？这些见男在干嘛？个别媒体在干嘛？,小鱼也要买买买,"
                6-8 17:02
                来自浙江
              ",
今天要呀呀,Woundplastt,"
                6-8 17:02
                来自山东
              ",
神经…这是高考啊，媒体能不能别乱引导,neverbe恶龙,"
                6-8 17:02
                来自上海
              ",
#大象新闻引导网暴影响女生高考#高考不让穿裙子？怎么了现在还有这规定？我的天呐你管人家高考穿什么啊哪来的这么大的恶意啊满脑子都是什么颜色废料,小张爱恰肉Ao,"
                6-8 16:59
                来自河南
              ",
跟给胖猫哭丧的是同一群人,Tshm汉汉,"
                6-8 16:59
                来自四川
              ",3
真服了这么爱造黄谣的男的闲着没事能不能去把村口的大粪挑了,池鱼故渊巛,"
                6-8 16:58
                来自四川
              ",
有病蝻的,梨西橙子-,"
                6-8 16:57
                来自河南
              ",1
小猫扶老奶奶过马路男的到底是有多深井这么正常的穿搭也能联想。。。,话不多的暴躁人,"
                6-8 16:57
                来自江苏
              ",1
简直就是在毁一个人的前途！！！,小猫小狗好一辈子,"
                6-8 16:57
                来自福建
              ",
一群低俗的人，让人火大！！！！,小猫小狗好一辈子,"
                6-8 16:57
                来自福建
              ",
恶臭男呕,choiii_y,"
                6-8 16:56
                来自浙江
              ",1
天那，真的有冰，这么会造谣,_吟晚夏,"
                6-8 16:56
                来自辽宁
              ",
转发微博,刀绾,"
                6-8 16:56
                来自福建
              ",
吐了,小树牌思乐冰,"
                6-8 16:55
                来自广东
              ",
全世界最早的早晨出现的地方我真的服了这到底在干什么啊…………真的服了,川澄海原,"
                6-8 16:55
                来自浙江
              ",
我的天呐。。。这都要管。。裙子怎么了不让穿吗。。真的无法理解,小张爱恰肉Ao,"
                6-8 16:55
                来自河南
              ",
网友就是这么爱男这么厌女,摸摸绒绒ovo,"
                6-8 16:55
                来自陕西
              ",
对小女生开黄腔网暴她的每天短,睿糖糖糖Csoda,"
                6-8 16:54
                来自广东
              ",
吐了有病，带头的必须要出来承担责任,别吵正在烧烤,"
                6-8 16:53
                来自江苏
              ",
我都硕士毕业工作了还能记得我中考物理考了第一，之后被我物理老师说，看不出来我打了两个耳钉还能考第一那时候年纪太小了不知道怎么反驳，但无语到我记了很久,o卡戎o,"
                6-8 16:53
                来自江苏
              ",1
爱美怎么了？穿裙子怎么了？穿你家裙子了？张口就来，你在评论随便开黄腔显着你了。还有那些媒体，是没东西拍了嘛…,AAA相交线,"
                6-8 16:52
                来自重庆
              ",1
无语,一只小小苏沁,"
                6-8 16:52
                来自浙江
              ",
不攻击女生就活不下去的一群老钟男,Twilight-uu,"
                6-8 16:52
                来自贵州
              ",1
人民网,小雨天气-rainy,"
                6-8 16:52
                来自马来西亚
              ",
有时候都不知道他们脑袋里面是什么啥都能意淫一下,BlueBlueBunny-,"
                6-8 16:52
                来自新疆
              ",
人民日报,小雨天气-rainy,"
                6-8 16:52
                来自马来西亚
              ",
我们国家扫黄力度还是不够,山里空气好朋友就都来玩,"
                6-8 16:52
                来自天津
              ",
网暴的成本太低了,老公爱你哟,"
                6-8 16:52
                来自河南
              ",
这个世界真的要疯了吧,小杨一直在摸鱼,"
                6-8 16:50
                来自重庆
              ",
恶臭男,一夕一颜色,"
                6-8 16:48
                来自辽宁
              ",1
高考考生都直接被带节奏网曝被逼到弃考，居心何在,付付付付付付付wx,"
                6-8 16:47
                来自河北
              ",
这就是锅侽,搭车回屏东,"
                6-8 16:47
                来自北京
              ",
真是够了人家穿个裙子怎么了无语死了,槐时序安,"
                6-8 16:47
                来自湖南
              ",
又来受害者有罪论了！高考三天的穿着只要得体不应该百花齐放吗，自己心情好就啊！年了还有一群索仔造未成年黄谣！姐年高考三天不重样的裙子丝袜也没被人蛐蛐过啊！还是家里人给准备的说高考的特别日子要天天都穿漂亮新衣服开开心心！,一只香草冰淇淋味香烛,"
                6-8 16:46
                来自江苏
              ",1
--老子把你们豆沙了逆蝶的,小茗同学不是茶tt,"
                6-8 16:46
                来自天津
              ",
果然是爱丁堡,肉山喵,"
                6-8 16:46
                来自广东
              ",
感觉现在很多报道都是没有内容都要强行制造内容//小困的奇思妙想#大象新闻引导网暴影响女生高考#,羊咩咩妙妙屋,"
                6-8 16:46
                来自陕西
              ",
高考是人生中重要的时刻这个被说穿着不得体的女孩因为网暴而弃考我也是真服了这些男的是不是脑子里的水没倒干净别的女孩穿什么高考是耽误你孩子了这群男的是没接受过高等教育嘛说话十句话十一句黄话说也就上个大专你是怕她考上大学把你的岗位挤下去吗我都不想骂我都怕把这些人给骂爽了,真的有被离谱到,"
                6-8 16:45
                来自山东
              ",
来去之间,64宇阿,"
                6-8 16:45
                来自湖南
              ",
,不只喜欢森女系,"
                6-8 16:45
                来自河南
              ",
杀了你们这群造黄谣的东西,Aria_lala,"
                6-8 16:45
                来自浙江
              ",
和之前网爆染粉发女生的是一批人…,薄荷味之雪,"
                6-8 16:44
                来自四川
              ",
意外髁鱼,我是日桉,"
                6-8 16:44
                来自北京
              ",
她是穿衣服了又不是没穿衣服…大清已经亡了………,你别管我在说什么,"
                6-8 16:43
                来自湖北
              ",8
#女考生因穿裙子而被网暴到放弃高考#,好运滚滚来_5458,"
                6-8 16:42
                来自湖北
              ",
恁爹的有病吧,鹿叹x,"
                6-8 16:42
                来自福建
              ",
不说我说有的男的跟没进化完一样脑子里除了那个还有啥哦不对我说错了它们没脑子,再不睡觉就猝死了,"
                6-8 16:41
                来自四川
              ",1
一群件货,逃離愛的時候-,"
                6-8 16:40
                来自海南
              ",
原以为小说对它们描写是过度夸张的，现在见识到了,独孤孤夜,"
                6-8 16:40
                来自广东
              ",
男表你们不得好死,去往海,"
                6-8 16:40
                来自江西
              ",1
能不能把这些造黄谣的小几把割了啊，看着就烦,珏琰,"
                6-8 16:40
                来自宁夏
              ",
#女考生因穿裙子而被网暴到放弃高考#,当地某不知名美女,"
                6-8 16:39
                来自福建
              ",
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,抱着蛋挞的松鼠,"
                6-8 16:38
                来自中国香港
              ",1
,熊猫大黑不溜秋眼,"
                6-8 16:38
                来自广东
              ",
,-kkoy-,"
                6-8 16:38
                来自河南
              ",
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,晨霧朦朧烟波曉,"
                6-8 16:38
                来自河北
              ",
共青团中央管管,伏山jun,"
                6-8 16:38
                来自四川
              ",
恶臭楠能不能死绝啊。。。见不亖它们,One_Star_L,"
                6-8 16:38
                来自江苏
              ",
抓几个杀鸡儆猴,浪漫到一起惹绝症o,"
                6-8 16:38
                来自广西
              ",
神他妈这样的就是大专命，我以前重点高中实验班也有不少三坑的妹妹，我爱穿啥穿啥，关男的事，真想拿湿厕纸给这些张口就来的男的擦擦脑子。,今天明天后天大后天一定早睡早起,"
                6-8 16:37
                来自四川
              ",1
前几年还能看到高考穿的采访，大家不是还在鼓励穿衣自由吗，怎么过了之后女性连裙子都不能穿了？穿越回大清了？,deadcliff,"
                6-8 16:37
                来自内蒙古
              ",
蝻的,优化芥川龙之介,"
                6-8 16:37
                来自山东
              ",
腩的死了,到灯塔去____,"
                6-8 16:36
                来自北京
              ",
不是，我高中时候只是不让烫发染发，实在劝不动的也不能让人家怎样啊！夏季校服是短裙，还被我们吐槽是山寨空姐装，才几年穿裙子都要被网暴了？,巴巴卡莉丝,"
                6-8 16:36
                来自辽宁
              ",
。。死男人们三番五次因为这个上热搜，还不能说明一切吗。。,初春河,"
                6-8 16:36
                来自山东
              ",2
说好的全社会为高考让路呢，女生穿正常衣物就被网暴造黄谣致使放弃高考,小慈早早睡,"
                6-8 16:36
                来自江苏
              ",
见男,杪月小里,"
                6-8 16:35
                来自湖南
              ",
,QQ发疯版,"
                6-8 16:35
                来自浙江
              ",
#女考生因穿裙子而被网暴到放弃高考#,小慈早早睡,"
                6-8 16:34
                来自江苏
              ",
我的高考我想咋穿就咋穿,陳長褆安,"
                6-8 16:34
                来自山东
              ",
-来杯四季奶青三分糖去冰-卧槽,KleinenPumpkin,"
                6-8 16:34
                来自德国
              ",
我不知道该说什么了，因为染发被网爆，因为穿裙子被网爆……,鹿晗眼里的星辰大海,"
                6-8 16:34
                来自山东
              ",
一看就是我们二次元…这穿搭多正常啊，孩子太惨了,你是否听到厨房分崩离析,"
                6-8 16:33
                来自江苏
              ",
？有病吧又开始,芒果菠萝L,"
                6-8 16:32
                来自江西
              ",
男的闻着味就来了,慵懒的梦桃,"
                6-8 16:32
                来自广东
              ",1
为什么允许媒体给高考生造黄谣！！！！,ham_u,"
                6-8 16:32
                来自湖北
              ",
这是年吗？？？,Ken2ie,"
                6-8 16:31
                来自北京
              ",
权力是将个人之意志加诸于他人之行动的可能性。,噗噗阿布,"
                6-8 16:31
                来自广东
              ",
所以说我讨厌男的,啥都菜菜子,"
                6-8 16:30
                来自江苏
              ",
不知道妹妹能不能看到评论，想说妹妹你完全没有问题，不要因为这些蛆影响自己，加油,TFboys庚澈呀,"
                6-8 16:30
                来自广东
              ",
这事情感觉曝光度还不够我是从看见一路搜过来的,羊子情绪化,"
                6-8 16:29
                来自北京
              ",
所以凭什么有金属就不让进考场？,pku_yp_sess_ds,"
                6-8 16:29
                来自北京
              ",
央视新闻,羊绿蛋_Hyunjin,"
                6-8 16:27
                来自广东
              ",
我他爹是真对这世界无语了,我恨的人都在天堂,"
                6-8 16:27
                来自浙江
              ",
,·103号小星球J·,"
                6-8 16:26
                来自安徽
              ",
。,用户陈见夏,"
                6-8 16:26
                来自四川
              ",
别太过分,Seasons_Changing,"
                6-8 16:25
                来自湖北
              ",
说了恶臭不能上网,你真的丑到我辣,"
                6-8 16:25
                来自湖北
              ",
以后每年高考能不能禁掉这些媒体,凄厌我,"
                6-8 16:24
                来自江苏
              ",
。。。已阅，即刻绞杀,-木星会守护茗璟mika-,"
                6-8 16:24
                来自北京
              ",
共青团中央,洋芋葵圆圆,"
                6-8 16:24
                来自广东
              ",
都人爱女是谎言,挪想睡意觉_,"
                6-8 16:24
                来自河南
              ",
卧槽尼玛楠的四了,-怎宥,"
                6-8 16:23
                来自上海
              ",
//单水轩弃考就是自己想的吧,一个聪明但还没绝顶的人,"
                6-8 16:23
                来自北京
              ",
#女生因穿裙子而被网暴到放弃高考#谁允许蝻的上网了？,同学室友在天堂版,"
                6-8 16:23
                来自河北
              ",
亲身经历网络新闻，黄谣确实是张口就来的,耶律二蛋,"
                6-8 16:22
                来自陕西
              ",
恶心,不想睡覺不想吃飯,"
                6-8 16:21
                来自广东
              ",
基因恐有致残风险,xfxnhxx,"
                6-8 16:21
                来自广东
              ",
看得我血压上来了够了我说无良媒体什么时候付出代价。。。还有明明是很正常的换鞋为什么扯到穿着上再说了这个穿着有任何问题吗？心脏的人看什么都脏,薯仔烧排骨,"
                6-8 16:20
                来自广东
              ",
深井冰吧我不懂这个裙子哪里不合适了人家爱穿啥穿啥,樱川鹿尔,"
                6-8 16:20
                来自重庆
              ",
妈的这些营销号真的一天不开黄腔会死吗,半粒星x,"
                6-8 16:20
                来自四川
              ",
高考期间高考考生就应该是第一位，这个媒体为了流量真的是不要脸了，底线都不要了，嫉妒心作祟。真的恶心#开封高考鞋子女生已弃考#,Jae_ninon,"
                6-8 16:19
                来自江苏
              ",
还一看就大专命别自己小学都没去上,我心意向小舒,"
                6-8 16:19
                来自江苏
              ",
媒体是这样的，引导舆论博取流量，这有啥办法呢，人家新闻媒体人可是第四权。,遥远的nostalgia,"
                6-8 16:18
                来自福建
              ",
深井冰,MonsooN2011,"
                6-8 16:18
                来自福建
              ",
人家爱咋穿咋穿有的人家里人都没了所以见不得别人有家人吗人家家里人都没说什么,我心意向小舒,"
                6-8 16:18
                来自江苏
              ",
折耳猫都说了男的不能上网,不愿钉在地球某处,"
                6-8 16:18
                来自四川
              ",
男的都去死,盯着杨幂唱征服,"
                6-8 16:17
                来自广东
              ",
这个世界,x青鸟传思慕,"
                6-8 16:17
                来自广西
              ",
#女考生因穿裙子而被网暴到放弃高考#,盐橘奶荔蟹_,"
                6-8 16:17
                来自山西
              ",
滚亖男,昼鸢叙,"
                6-8 16:17
                来自北京
              ",
这些蝻的一看到裙子就想到大腿，脑子里面都是黄色的屎吗只能说不愧是虫子,魔说柚子你呀香香啊,"
                6-8 16:16
                来自广西
              ",
男的就应该跟着胖猫一起跳,紫之创玩第五人格,"
                6-8 16:16
                来自广东
              ",
忙着跟男宝亲热呢哪有空//怡宝爱喝芬达共青团中央来看你的男宝,画个叭叭诅咒你,"
                6-8 16:15
                来自山东
              ",1
男的真的歹毒呢，偏偏就是故意在人家参加高考的时候来这出，是什么用心呢？,颜惜_Lucky7,"
                6-8 16:15
                来自浙江
              ",1
多正常啊美美的去考试,-Sillage-,"
                6-8 16:14
                来自河北
              ",
转发微博,恋爱哪有蔡徐坤香,"
                6-8 16:14
                来自河北
              ",
杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀杀,雨yu夏x,"
                6-8 16:14
                来自广东
              ",1
有病，人家乐意穿什么穿什么,别拦我让我发疯,"
                6-8 16:14
                来自黑龙江
              ",
为什么当事人妹妹的微博没有了上午我还看见了的,Delta靓仔,"
                6-8 16:13
                来自山东
              ",
男的都这样似乎他们进化了因为他们的睾丸逐渐代替大脑来思考。,bi8boooo1228,"
                6-8 16:13
                来自四川
              ",
等法律管,兔子已经迟了,"
                6-8 16:12
                来自山东
              ",
我真服了世界是个巨大的爱丁堡,好一个好一个,"
                6-8 16:12
                来自云南
              ",
//到底是哪個把我的睡意偷走了当事人微博已经看不到也关注不了大家帮忙去阿姨微博顶顶热度我的女儿也想读大学,Alpha粒子的轨迹,"
                6-8 16:12
                来自陕西
              ",
下头蝻真,我相信我们会见面0806,"
                6-8 16:12
                来自安徽
              ",
男人基本盘,_撷星_,"
                6-8 16:12
                来自内蒙古
              ",
好臭。。,螺螄粉加個炸蛋,"
                6-8 16:11
                来自山西
              ",
为什么要对一个高考的女生造黄谣,好喜欢你大结局,"
                6-8 16:11
                来自安徽
              ",
人十七八岁的小姑娘想在自己人生重要时刻盛装出席怎么了啊！一群没心没肺没脑的东西黄谣张口就来！能不能抓去判刑啊！,弱鸡小刘,"
                6-8 16:11
                来自加拿大
              ",
绝了造谣真是成本一帮人天天闲的没事干就会在网上别人恶心死了,吃好啊呢个,"
                6-8 16:10
                来自广东
              ",
小集粑看见个短裙就开始造黄谣嘞,魔法少女bibdi,"
                6-8 16:10
                来自浙江
              ",
好，如果再有高考，我就穿去考,汉人移民后裔,"
                6-8 16:10
                来自吉林
              ",1
哇塞又是女生穿裙子就是勾引人还麻辣女教师，自己片看多了，你不知道教师衣着有规定吧,未不可尝,"
                6-8 16:10
                来自广东
              ",
有病吧,lakiki别睡啦,"
                6-8 16:10
                来自福建
              ",
无语。。。。有些人屁事真特么多。。什么都管,宁艺桌pigpig,"
                6-8 16:10
                来自浙江
              ",
管天管地,只回好看的人,"
                6-8 16:10
                来自云南
              ",
这种自媒体应该进监狱,逛逛微博长见识,"
                6-8 16:10
                来自江苏
              ",
//桂少瑞貓想把这些造黄瑶的男的送去非洲接客一次性玩,八方来财好运连连狮狮如意,"
                6-8 16:10
                来自江苏
              ",
有时候和某些人生活在同一个地球上真的感到很无助#高考女生因穿裙子被网暴##大象新闻引导网爆高考未成年人#中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,-锦棉OvO-,"
                6-8 16:09
                来自广西
              ",
就是想在人生中重要的时刻穿上自己喜欢的衣服有什么问题,薛夜妄,"
                6-8 16:09
                来自辽宁
              ",
男的死了,即使侧耳倾听也不再会听见的_,"
                6-8 16:09
                来自湖南
              ",
我的胯下不能生出歧视我的性别，我的血肉不能变成刺向我的尖刀！！！杀杀杀！！！,雨yu夏x,"
                6-8 16:07
                来自广东
              ",2
真的是完美的诠释了脑子脏，眼睛脏，看到什么东西都脏,慕汝-ru,"
                6-8 16:06
                来自四川
              ",
,再惹俺一次试试呢,"
                6-8 16:06
                来自广东
              ",
,谁无爱一身轻,"
                6-8 16:06
                来自河南
              ",
生气子我真惊了，无下限,可以不要玩手机了吗,"
                6-8 16:05
                来自福建
              ",
为什么在给一个高中女生造黄谣的时候你们是如此有默契,drunnyyynnk,"
                6-8 16:05
                来自湖北
              ",
不是全社会给高考生服务吗？？？人家女生怎么了，，，，，,Sure啊_,"
                6-8 16:05
                来自安徽
              ",
小女孩参加高考穿个裙子一群逼男都能上，现在女孩家长出来发声维权又开始捂嘴，能否先把街上光膀子挺着啤酒肚走路的男的送到刘全那里再来管女生穿什么，还说别把事情闹大了咋一个月前对你们的纯爱战士不是这么说的,唧马,"
                6-8 16:05
                来自重庆
              ",
子婎雪曦致蓉天呐高考诶,恰摩罗丹,"
                6-8 16:05
                来自江西
              ",
中国警方在线微博管理员围脖侠河南网警平安中原大象新闻引导网暴高考生，请立即调查处理,不想吃饭的林同学,"
                6-8 16:05
                来自福建
              ",
男宝星球。。,口嗨荣耀王者,"
                6-8 16:05
                来自江苏
              ",
穿自己喜欢的裙子高考到底有什么错…男的脑子都糊猪油了吧,TuCcc-oo,"
                6-8 16:05
                来自浙江
              ",
靠，真是服了,孜然蘸着彩虹糖,"
                6-8 16:03
                来自江西
              ",
魔法小辣酱氨紒瓅鉲黑線,yeeonouii,"
                6-8 16:03
                来自广东
              ",
造谣这么熟练？张嘴就来？怎么本人就干这个吗？还是祖传的啊？那么爱造，想拉人下水啊，那么想就自己去干啊又没人拦你，少来这里恶心人,暮烟霜华,"
                6-8 16:03
                来自广西
              ",
好见,数学我来啦,"
                6-8 16:03
                来自江苏
              ",
这裙子有什么问题吗？一些重点高中本来就有西装制服裙，每次活动都要求穿的，你们不会都没见过吧,纯熙荟蔚,"
                6-8 16:02
                来自北京
              ",
熄灯秒睡着天啊,喵咪六下,"
                6-8 16:01
                来自黑龙江
              ",
#女考生因穿裙子而被网暴到放弃高考#,星蓝海边_与你-考证全过版,"
                6-8 16:00
                来自上海
              ",
死喃…穿的正常的不能再正常了,戒炸鸡选手_,"
                6-8 16:00
                来自中国香港
              ",
好多线头，剪了,与君涉川,"
                6-8 16:00
                来自北京
              ",
网暴人家小姑娘不仅有男宝还有小太妹厌女解,毛线鞋比,"
                6-8 15:59
                来自四川
              ",
真的好神金,OA-梦珍橘猫,"
                6-8 15:58
                来自江苏
              ",
🆙,sofuu_,"
                6-8 15:57
                来自江苏
              ",
网络喷子都是现实生活中过的很差的那些,晓梦迷蝶D,"
                6-8 15:57
                来自辽宁
              ",
,Imamessmessmessmessmessmessmes,"
                6-8 15:56
                来自福建
              ",
女生不穿裙子穿什么？人家上衣捂的严严实实的也挡不住某些人的裤裆,我要食宝活,"
                6-8 15:56
                来自河南
              ",
#女考生因穿裙子而被网暴到放弃高考#,妳的小貓信封,"
                6-8 15:56
                来自福建
              ",
